#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2016 02 01 05 00 220  6.0  7.0   2.1     7    MM  MM 1014.1    MM   7.5    MM   MM -0.2    MM
2016 02 01 04 00 230  7.0  8.0   2.2     8    MM  MM 1014.3    MM   7.1    MM   MM -0.3    MM
2016 02 01 03 00 230  7.0  9.0   2.2     7    MM  MM 1014.2    MM   6.9    MM   MM -0.7    MM
2016 02 01 02 00 230  7.0  8.0   2.4     8    MM  MM 1014.3    MM   6.7    MM   MM -0.5    MM
2016 02 01 01 00 210  4.0  6.0   2.5     7    MM  MM 1014.6    MM   6.8    MM   MM -0.2    MM
2016 02 01 00 00 220  2.0  3.0   2.5     8    MM  MM 1014.9    MM   6.8    MM   MM +0.2    MM
2016 01 31 23 00 210  4.0  4.0   2.7     8    MM  MM 1014.8    MM   6.9    MM   MM +0.0    MM
2016 01 31 22 00 230  5.0  6.0   2.7     8    MM  MM 1014.8    MM   6.9    MM   MM +0.0    MM
2016 01 31 21 00 220  4.0  5.0   2.8     8    MM  MM 1014.7    MM   6.9    MM   MM -0.4    MM
2016 01 31 20 00 240  4.0  5.0   2.6     8    MM  MM 1014.8    MM   6.9    MM   MM -0.9    MM
2016 01 31 19 00 250  6.0  8.0   2.8     8    MM  MM 1014.8    MM   6.9    MM   MM -1.6    MM
2016 01 31 18 00 240  8.0 10.0   2.8     8    MM  MM 1015.1    MM   6.9    MM   MM -1.3    MM
2016 01 31 17 00 240  8.0 10.0   2.9     7    MM  MM 1015.7    MM   6.8    MM   MM -0.7    MM
2016 01 31 16 00 250  8.0 10.0   3.0     8    MM  MM 1016.4    MM   6.9    MM   MM +0.1    MM
2016 01 31 15 00 240  9.0 11.0   2.8     8    MM  MM 1016.4    MM   6.7    MM   MM -0.2    MM
2016 01 31 14 00 240 10.0 12.0   2.9     8    MM  MM 1016.4    MM   6.5    MM   MM -1.0    MM
2016 01 31 13 00 240 11.0 14.0   2.8    10    MM  MM 1016.3    MM   6.6    MM   MM -1.1    MM
2016 01 31 12 00 230 10.0 12.0   2.8    11    MM  MM 1016.6    MM   6.6    MM   MM -0.7    MM
2016 01 31 11 00 230  9.0 11.0   2.6    11    MM  MM 1017.4    MM   7.6    MM   MM -0.1    MM
2016 01 31 10 00 240  9.0 12.0   2.7    11    MM  MM 1017.4    MM   7.8    MM   MM -0.5    MM
2016 01 31 09 00 240  9.0 12.0   2.5    11    MM  MM 1017.3    MM   7.5    MM   MM -0.9    MM
2016 01 31 08 00 230  9.0 11.0   2.2    11    MM  MM 1017.5    MM   7.5    MM   MM -1.2    MM
2016 01 31 07 00 240  8.0 10.0   2.2    11    MM  MM 1017.9    MM   8.5    MM   MM -1.0    MM
2016 01 31 06 00 170  5.0   MM    MM    MM    MM  MM 1018.2    MM   8.5    MM   MM -0.7    MM
2016 01 31 05 00 160  5.0  7.0   2.2    10    MM  MM 1018.7    MM   8.4    MM   MM -0.1    MM
2016 01 31 04 00 200  5.0  6.0   2.0    12    MM  MM 1018.9    MM   8.4    MM   MM +0.3    MM
2016 01 31 03 00 240  5.0  6.0   2.4    12    MM  MM 1018.9    MM   8.9    MM   MM +0.7    MM
2016 01 31 02 00 270  5.0  6.0   2.5    12    MM  MM 1018.8    MM   9.3    MM   MM +1.6    MM
2016 01 31 01 00 280  5.0  7.0   2.5    12    MM  MM 1018.6    MM   8.9    MM   MM +1.9    MM
2016 01 31 00 00 300  9.0 11.0   2.9    11    MM  MM 1018.2    MM   9.0    MM   MM   MM    MM
